,auc_roc,f1,precision,recall
XGBoost Only,0.931600841416139,0.47368421052631576,0.3537117903930131,0.7168141592920354
Ensemble Final,0.9344440306141184,0.4777777777777778,0.3481781376518219,0.7610619469026548
